Date,IBOVESPA
2024-02-02 00:00:00-03:00,127182.0
2024-02-05 00:00:00-03:00,127593.0
2024-02-06 00:00:00-03:00,130416.0
2024-02-07 00:00:00-03:00,129608.0
2024-02-08 00:00:00-03:00,128217.0
2024-02-09 00:00:00-03:00,128026.0
2024-02-14 00:00:00-03:00,127018.0
2024-02-15 00:00:00-03:00,127804.0
2024-02-16 00:00:00-03:00,128726.0
2024-02-19 00:00:00-03:00,129036.0
2024-02-20 00:00:00-03:00,129916.0
2024-02-21 00:00:00-03:00,130032.0
2024-02-22 00:00:00-03:00,130241.0
2024-02-23 00:00:00-03:00,129419.0
2024-02-26 00:00:00-03:00,129609.0
2024-02-27 00:00:00-03:00,131689.0
2024-02-28 00:00:00-03:00,130155.0
2024-02-29 00:00:00-03:00,129020.0
2024-03-01 00:00:00-03:00,129180.0
2024-03-04 00:00:00-03:00,128341.0
2024-03-05 00:00:00-03:00,128098.0
2024-03-06 00:00:00-03:00,128890.0
2024-03-07 00:00:00-03:00,128340.0
2024-03-08 00:00:00-03:00,127071.0
2024-03-11 00:00:00-03:00,126124.0
2024-03-12 00:00:00-03:00,127668.0
2024-03-13 00:00:00-03:00,128006.0
2024-03-14 00:00:00-03:00,127690.0
2024-03-15 00:00:00-03:00,126742.0
2024-03-18 00:00:00-03:00,126954.0
2024-03-19 00:00:00-03:00,127529.0
2024-03-20 00:00:00-03:00,129125.0
2024-03-21 00:00:00-03:00,128159.0
2024-03-22 00:00:00-03:00,127027.0
2024-03-25 00:00:00-03:00,126931.0
2024-03-26 00:00:00-03:00,126863.0
2024-03-27 00:00:00-03:00,127691.0
2024-03-28 00:00:00-03:00,128106.0
2024-04-01 00:00:00-03:00,126990.0
2024-04-02 00:00:00-03:00,127549.0
2024-04-03 00:00:00-03:00,127318.0
2024-04-04 00:00:00-03:00,127428.0
2024-04-05 00:00:00-03:00,126795.0
2024-04-08 00:00:00-03:00,128857.0
2024-04-09 00:00:00-03:00,129890.0
2024-04-10 00:00:00-03:00,128054.0
2024-04-11 00:00:00-03:00,127396.0
2024-04-12 00:00:00-03:00,125946.0
2024-04-15 00:00:00-03:00,125334.0
2024-04-16 00:00:00-03:00,124389.0
2024-04-17 00:00:00-03:00,124171.0
2024-04-18 00:00:00-03:00,124196.0
